id Turn;time;speaker;simultaneous;text;event
57;177.731;spk2;-;et puis on avait des ambitions oui de d'autres choses en fait;-
57;182.664;spk2;-;donc euh on est arrivé ici euh ouh là moi ça a été le choc;-
58;186.683;spk2;spk2 spk1;pour moi ouais;-
58;186.683;spk1;spk2 spk1;parce que vous vous aviez toujours vécu euh ?;-
58;189.14;spk2;spk2 spk1;bah j'avais pas besoin de voiture enfin j'utilisais beaucoup les transports en commun euh;-
58;189.14;spk1;spk2 spk1;en ban- enfin dans la ville ou euh oui oui;-
59;194.409;spk2;-;j'avais tout réseau amical là-bas euh bah lui aussi mais bon euh;-
59;198.741;spk2;-;d'un seul coup moi je suis arrivée ici sans travail;-
60;201.102;spk1;-;oui en plus;-
61;201.828;spk2;-;je me suis retrouvée dans une maison en pleine campagne on l'avait choisie hein je;-
62;205.391;spk2;spk2 spk1;mais je me suis dit ouh là est-ce que tu as bien réfléchi ? et puis voilà et puis;-
62;205.391;spk1;spk2 spk1;-;rire
63;211.478;spk2;-;et puis je me suis dit euh;-
63;212.997;spk2;-;tu as fait un choix bah hein f- tu faut l'assumer et puis euh faut essayer ça va être long;-
63;217.834;spk2;-;ça va me demander de l'énergie euh;-
63;220.555;spk2;-;et puis bah petit à petit j'ai mis un an quand même;-
64;222.363;spk2;spk2 spk1;à me faire;-
64;222.363;spk1;spk2 spk1;oui;-
65;222.871;spk2;-;à la région;-
65;223.882;spk2;-;aux gens de la région;-
66;225.137;spk1;-;oui;-
67;225.911;spk2;spk2 spk1;c'était assez difficile;-
67;225.911;spk1;spk2 spk1;oui puis c'est vrai;-
68;227.006;spk1;-;que sans tra- en ne travaillant pas;-
69;228.849;spk1;spk1 spk2;c'est euh aussi peut-être plus compliqué encore euh;-
69;228.849;spk2;spk1 spk2;ouais ouais;-
70;231.786;spk2;-;bah oui et puis bah Nicolas avait deux ans il était pas scolarisé encore;-
71;234.988;spk2;spk2 spk1;bah je tenais à être euh encore proche de lui enfin à à l'accompagner encore un petit peu donc euh;-
71;234.988;spk1;spk2 spk1;ouais hm hm oui hm hm;-
72;240.233;spk2;-;ensuite bah il est allé j'ai passé mon permis hein je suis repassée je suis retournée très vite sur Paris euh;-
72;246.108;spk2;-;en deux semaines euh j'ai fait en accéléré hein je l'ai fait avec;-
73;248.925;spk2;spk2 spk1;mais j'ai eu mon permis rapidement;-
73;248.925;spk1;spk2 spk1;-;rire
73;250.464;spk2;spk2 spk1;oui j'ai vu un peu la campagne autrement;-
73;250.464;spk1;spk2 spk1;ouais à la campagne c'est indispensable;-
73;253.185;spk2;spk2 spk1;parce que là j'étais tributaire;-
73;253.185;spk1;spk2 spk1;-;rire
74;255.175;spk2;-;en fait pour les courses pour tout parce qu'on était vraiment euh;-
74;257.998;spk2;-;hors de la ville;-
75;258.692;spk2;spk2 spk1;donc euh;-
75;258.692;spk1;spk2 spk1;d'accord d'accord;-
76;260.118;spk2;-;c'est assez compliqué;-
76;260.892;spk2;-;on marchait beaucoup mais bon euh;-
77;262.988;spk2;spk2 spk1;y avait des choses qu'on pouvait pas aller à pieds mais bon;-
77;262.988;spk1;spk2 spk1;oui c'est pas toujours possible hm;-
78;265.753;spk2;-;hm hm et puis j'avais envie d'autonomie aussi;-
79;268.138;spk2;spk2 spk1;et pas de d'ar- d'arriver à la campagne mais de devenir dépendante de mon mari et de;-
79;268.138;spk1;spk2 spk1;oui bah oui oui hm hm hm hm hm hm hm;-
79;272.59;spk2;spk2 spk1;et puis bon des voisins;-
79;272.59;spk1;spk2 spk1;ouais;-
79;274.854;spk2;spk2 spk1;donc voilà;-
79;274.854;spk1;spk2 spk1;ouais;-
80;275.585;spk2;-;donc je l'ai passé très rapidement;-
80;277.695;spk2;-;ensuite euh;-
80;279.604;spk2;-;eh bien;-
80;279.604;-;spk2;-;pf
80;282.109;spk2;-;franchement;-
80;282.109;-;spk2;-;pf
80;283.821;spk2;-;on a un trouvé un peu une place ici;-
80;286.759;spk2;-;euh;-
80;288.398;spk2;-;moi j'ai trouvé du travail petit à petit et puis euh;-
80;288.398;-;spk2;-;pf
80;292.177;spk2;-;très jeune je voulais pas euh être comptable hein;-
80;295.211;spk2;-;c'était un petit peu à l'époque on était un petit peu guidé euh;-
80;298.336;spk2;-;pendant les études on n'avait pas trop le choix hein;-
80;300.624;spk2;-;on par le de ça c'était en quatre-vingt soixante-dix-neuf;-
81;302.985;spk2;spk2 spk1;quatre-vingt;-
81;302.985;spk1;spk2 spk1;ouais ouais;-
82;304.355;spk2;-;c'était euh on n'était pas forcément bon à l'école euh on cherchait pas forcément à nous aider ou à comprendre pourquoi;-
82;309.817;spk2;-;c'était bah toi tu feras un CAP euh;-
83;312.394;spk2;spk2 spk1;toi tu feras ceci euh;-
83;312.394;spk1;spk2 spk1;hm hm hm;-
84;313.956;spk2;-;moi j'ai su j'ai jamais;-
85;315.212;spk2;spk2 spk1;j'ai jamais été rebelle;-
85;315.212;spk1;spk2 spk1;-;rire
85;317.23;spk2;spk2 spk1;j'ai suivi un peu le mouvement mais j'avais toujours un peu dans l'idée un jour je ferai ce que je veux et voilà;-
85;317.23;spk1;spk2 spk1;-;rire
86;323.293;spk2;-;je me donnerai les moyens d'y arriver;-
86;325.63;spk2;-;donc euh je cheminais tranquillement;-
86;328.832;spk2;-;ensuite euh bah euh Marine est arrivée;-
86;333.765;spk2;-;et euh en fait euh j'ai travaillé je faisais des petits boulots hein toujours dans le secrétariat dans la comptabilité mais je m'éclatais;-
87;340.02;spk2;spk2 spk1;pas vraiment mais bon ça m'occupait quelque part Nicolas était à l'école donc ça m'occupait;-
87;340.02;spk1;spk2 spk1;hm hm hm oui oui oui;-
88;344.544;spk2;-;et puis je voyais des gens j'échangeais;-
88;346.784;spk2;-;bah pas je dis pas que c'était pas très profond;-
89;349.486;spk2;spk2 spk1;mais bon bah je voyais des gens ça me ça me permettait de pas;-
89;349.486;spk1;spk2 spk1;-;rire
90;354.539;spk2;-;voilà comment dire euh ?;-
91;356.447;spk2;spk2 spk1;embêter mon mari le soir quand il rentrait non mais c'est vrai que c'est important;-
91;356.447;spk1;spk2 spk1;-;rire
91;360.466;spk2;spk2 spk1;de pas déverser sur lui toute cette euh;-
91;360.466;spk1;spk2 spk1;-;rire
91;364.149;spk2;spk2 spk1;tout ce que j'avais mal vécu dans la journée donc;-
91;364.149;spk1;spk2 spk1;-;rire
92;367.808;spk2;-;euh voilà euh j'ai donc eu Marine en quatre-vingt-huit;-
92;371.899;spk2;-;et puis je me suis dit euh;-
92;373.995;spk2;-;euh le fait d'arrêter de travailler sur ce congé-là je me suis dit c'est le moment ou jamais;-
93;378.88;spk2;spk2 spk1;si tu le fais pas maintenant tu le feras;-
93;378.88;spk1;spk2 spk1;de faire autre chose hm;-
94;381.04;spk2;-;plus jamais;-
94;382.13;spk2;-;et euh j'avais une en- une envie depuis mais de nombreuses années hein je;-
94;385.741;spk2;-;me souviens en cinq sixième déjà je disais quand on me demandait qu'est-ce que tu veux faire je disais;-
94;390.001;spk2;-;je veux être éducatrice;-
94;391.4;spk2;-;c'était vraiment;-
95;392.454;spk2;spk2 spk1;mon truc et euh;-
95;392.454;spk1;spk2 spk1;hm hm hm;-
96;393.785;spk2;-;souvent on m'a rigolé au nez;-
97;395.108;spk2;spk2 spk1;hein tu y arriveras jamais;-
97;395.108;spk1;spk2 spk1;ouais ouais;-
98;396.76;spk2;-;c'est bouché enfin;-
99;398.309;spk2;-;enfin vraiment euh j'ai eu euh oui de la part de plein de gens euh même euh;-
100;402.328;spk2;-;bah ma famille hein n'y croyait enfin bah voilà;-
101;405.458;spk2;spk2 spk1;et puis là;-
101;405.458;spk1;spk2 spk1;ouais;-
102;406.092;spk2;-;je me suis dit bah de toute façon tu as tout entre les mains hein c'est à toi de euh;-
103;409.064;spk1;-;hm hm hm;-
104;409.718;spk2;spk2 spk1;de d'y aller de faire les choses;-
104;409.718;spk1;spk2 spk1;d'y aller;-
105;412.079;spk2;-;et donc je je suis allée dans une école de travail social et puis euh;-
106;417.517;spk2;spk2 spk1;et j'ai;-
106;417.517;spk1;spk2 spk1;et là c'est euh;-
107;419.709;spk1;-;comment ça se passe ? il y a un conc- ça y avait un;-
108;421.762;spk2;spk2 spk1;mais en fait;-
108;421.762;spk1;spk2 spk1;concours y avait;-
109;422.838;spk2;-;j'ai pas euh;-
109;424.394;spk2;-;il lui fallait euh un employeur;-
109;426.406;spk2;-;parce que entre temps euh on s'est séparé;-
110;429.623;spk2;spk2 spk1;avec mon mari;-
110;429.623;spk1;spk2 spk1;hm;-
111;430.353;spk2;-;donc je me suis retrouvée seule avec euh les deux enfants;-
111;433.656;spk2;-;Marine était assez jeune elle avait euh dix-huit mois;-
111;437.007;spk2;-;il me semble;-
111;438.07;spk2;-;donc euh;-
111;439.556;spk2;-;je voulais euh absolument euh;-
111;442.113;spk2;-;bah continuer à à les élever euh;-
111;445.267;spk2;-;je voulais les les garder j'aurais euh f-;-
111;447.771;spk2;-;enfin euh tout fait pour euh;-
111;450.34;spk2;-;c'était ce qui est ce qui était euh;-
111;450.34;-;spk2;-;pf
111;452.868;spk2;-;primordial pour moi c'était continuer je les avais désirés je les avais voulus je voulais pas les perdre et donc euh;-
111;458.305;spk2;-;je voulais un peu tout sauver quoi;-
112;459.776;spk1;-;hm hm hm;-
113;460.353;spk2;-;euh et ma vie euh professionnelle;-
114;462.75;spk2;spk2 spk1;et la vie des enfants;-
114;462.75;spk1;spk2 spk1;et les enfants;-
115;464.395;spk2;-;en mettant bah ma vie évidemment privée de;-
116;466.704;spk2;spk2 spk1;côté bon;-
116;466.704;spk1;spk2 spk1;hm hm hm;-
117;467.43;spk2;-;après faut faire des choix;-
117;469.569;spk2;-;donc euh je me suis rendue euh j'ai trouvé du travail;-
117;473.205;spk2;-;euh dans un IME à l'époque;-
117;476.09;spk2;-;ça c'était en qua- début quatre-vingt-neuf Marine était vraiment très très petite;-
117;480.402;spk2;-;euh donc euh j'ai trouvé du travail je suis allée à l'école du travail social;-
117;484.478;spk2;-;ils m'ont dit écoutez euh;-
117;485.8;spk2;-;on peut pas vraiment vous proposer une formation parce que euh;-
117;489.117;spk2;-;bah j'avais pas réellement le niveau à part un CAP pour eux;-
118;491.814;spk2;spk2 spk1;ça correspondait à rien;-
118;491.814;spk1;spk2 spk1;ouais hm;-
119;493.425;spk2;-;euh;-
119;494.752;spk2;-;allez faire euh une préformation ils avaient appelé ça allez faire un stage allez;-
119;498.17;spk2;-;allez rencontrer à la rencontre des;-
119;500.815;spk2;-;des gens que vous voulez accompagner et puis euh;-
119;503.68;spk2;-;on se reverra peut-être ou on se reverra pas;-
119;506.089;spk2;-;et en fait euh dans cette IME j'ai rencontré une équipe d'éducateurs euh;-
119;510.012;spk2;-;bah qui m'ont euh;-
119;511.387;spk2;-;bah je pense qui ont compris en fait;-
120;512.858;spk2;spk2 spk1;ce que j'avais envie de et qui comprenaient et puis qui ont trouvé;-
120;512.858;spk1;spk2 spk1;ouai hm hm hm votre projet euh ouais;-
120;516.42;spk2;spk2 spk1;un potentiel hein;-
120;516.42;spk1;spk2 spk1;hm hm hm;-
121;518.276;spk2;-;et euh donc qui on décidait de m'accompagner m'aider je sais pas trop;-
121;522.584;spk2;-;comment on peut appeler ça mais en tous cas;-
122;523.978;spk2;spk2 spk1;qui m'ont soutenu dans mon projet;-
122;523.978;spk1;spk2 spk1;soutenu hm;-
123;525.503;spk2;-;ouais;-
123;526.579;spk2;-;donc euh;-
123;529.396;spk2;-;eh ben euh j'ai cheminé tranquillement en faisant des petites formations euh;-
123;533.848;spk2;-;et euh;-
123;535.901;spk2;-;ça fait donc vingt ans et j'ai fait en en;-
123;538.805;spk2;-;des bouts de formation;-
124;539.719;spk2;spk2 spk1;d'éducatrice je suis arrivée à;-
124;539.719;spk1;spk2 spk1;voilà hm hm;-
125;542.579;spk2;-;euh à mon à mon rêve;-
126;544.586;spk1;-;voilà;-
127;545.015;spk2;spk2 spk1;c'est c'est pas un rêve;-
127;545.015;spk1;spk2 spk1;-;rire
128;545.835;spk2;-;non mais c'est vrai hein c'est c'est c'est peut-être bête à dire;-
129;549.411;spk2;spk2 spk1;c'est pas un grand rêve mais euh c'est pas quelque chose;-
129;549.411;spk1;spk2 spk1;bah non mais c'est chouette quoi voilà de d'y être arrivée;-
130;552.91;spk2;-;d'extraordinaire mais bon;-
130;554.68;spk2;-;en fait je en- j'ai l'impression bon quand je l'analyse aujourd'hui;-
131;557.834;spk1;-;ouais;-
132;558.363;spk2;-;j'avais envie c'était un peu un défi aussi;-
133;559.834;spk1;-;hm hm hm;-
134;560.579;spk2;-;et puis envie de dire à tous les gens qui ont jamais cru qui ont pas cru quoi dans ce projet là bah;-
135;564.863;spk2;spk2 spk1;j'ai peut-être mis vingt ans mais voilà j'y suis arrivée quoi ouais c'était un petit peu;-
135;564.863;spk1;spk2 spk1;bah ça y est je l'ai fait;-
135;564.863;spk1;spk2 spk1;-;rire
135;570.917;spk2;spk2 spk1;voilà ça m'a ça m'a fait plaisir quand même de me;-
135;570.917;spk1;spk2 spk1;ouais ouais ouais;-
136;573.014;spk2;-;prouver à moi-même;-
136;574.2;spk2;-;même si je suis pas allée les voir en leur disant bah voyez c'est ridicule de;-
136;578.027;spk2;-;de dire euh de;-
137;579.437;spk2;spk2 spk1;prédire à vos enfants euh ceci ou cela;-
137;579.437;spk1;spk2 spk1;hm hm hm hm;-
138;581.926;spk2;-;voilà i- il chemine il fait des rencontres i- voilà il a des envies il a des des;-
138;587.412;spk2;-;il a la force il a peut-être pas la force mais bon à un moment donné je pense que dans le chemin on p- peut;-
139;592.874;spk2;spk2 spk1;faut voir voilà je crois que c'est ça faut savoir s'appuyer aussi sur ces gens-là;-
139;592.874;spk1;spk2 spk1;et oui et puis selon les rencontres qu'on fait selon plein de choses aussi et ouais ouais;-
139;599.201;spk2;spk2 spk1;à saisir euh les opportunités;-
139;599.201;spk1;spk2 spk1;hm hm hm;-
140;601.414;spk2;-;c'est en fait c'est c'est c'est vraiment ce parcours-là que j'ai eu hein c'est euh;-
141;605.648;spk2;spk2 spk1;des choses qu'on m'a j'ai jamais;-
141;605.648;spk1;spk2 spk1;ouais ouais ouais ouais;-
142;607.404;spk2;-;réellement vraiment demandé les choses on m'a proposé;-
143;609.991;spk2;spk2 spk1;des choses des;-
143;609.991;spk1;spk2 spk1;ouais;-
143;610.821;spk2;spk2 spk1;en cheminant comme ça j'ai jamais fait des demandes de ceci ouais;-
143;610.821;spk1;spk2 spk1;hm hm hm et puis en prenant le temps aussi de de le faire et euh;-
144;615.802;spk1;-;hm;-
145;616.023;spk2;-;alors moi ça a été très long parce que euh bah j'ai élevé les enfants en même temps donc euh puis je tenais absolument à ce qu'ils aient euh;-
145;622.562;spk2;-;qu'ils aillent à l'école c'est une chose que moi j'avais un petit peu euh on on m'avait pas éduqué comme ça;-
146;627.039;spk2;spk2 spk1;moi quand j'était jeune;-
146;627.039;spk1;spk2 spk1;d'accord ouais;-
147;628.384;spk2;-;en me disant que l'école c'était;-
148;629.464;spk2;spk2 spk1;important;-
148;629.464;spk1;spk2 spk1;ouais;-
149;630.043;spk2;-;on m'avait plutôt éduquée sur des valeurs travail;-
150;632.142;spk2;spk2 spk1;il faut travailler il faut;-
150;632.142;spk1;spk2 spk1;hm hm;-
151;634.206;spk2;-;faut ramener de l'argent;-
152;635.35;spk2;spk2 spk1;faut faire euh voilà;-
152;635.35;spk1;spk2 spk1;oui oui oui;-
152;636.412;spk2;spk2 spk1;c'était moi c'était les valeurs que j'avais;-
152;636.412;spk1;spk2 spk1;oui oui hm hm hm;-
153;638.728;spk2;-;et euh donc pour l'école euh;-
153;638.728;-;spk2;-;pf
153;641.158;spk2;-;y a des fois je voyais pas trop ce que j'y faisais;-
154;643.089;spk1;-;ouais;-
155;643.422;spk1;spk1 spk2;fallait y aller mais euh;-
155;643.422;spk2;spk1 spk2;c- fallait y aller euh;-
156;645.614;spk2;-;j'étais un peu maltraitée enfin c'est un bien grand;-
157;647.925;spk2;spk2 spk1;mot mais;-
157;647.925;spk1;spk2 spk1;oui;-
158;648.57;spk2;-;je me sentant je me sentais un peu mal traitée parce que en face de moi j'avais;-
158;652.181;spk2;-;des des professeurs qui euh cherchaient pas à;-
159;654.77;spk2;spk2 spk1;comprendre quoi;-
159;654.77;spk1;spk2 spk1;hm hm hm;-
160;656.272;spk2;-;et qui voilà qui donnaient leurs cours euh;-
160;658.724;spk2;-;on comprenait on comprenait pas on suivait on suivait pas;-
161;661.32;spk2;spk2 spk1;c'était pas leur soucis hein;-
161;661.32;spk1;spk2 spk1;hm hm hm hm;-
162;663.152;spk2;-;mais bon peut-être que je me trompe hein j'ai jamais;-
163;665.344;spk2;spk2 spk1;parlé avec eux ouais ce que je ressentais;-
163;665.344;spk1;spk2 spk1;non mais c'était le sentiment que voilà ouais;-
164;667.87;spk2;-;moi dans la classe donc euh m-;-
164;669.623;spk2;-;je me mettais un peu à l'écart j'observais beaucoup;-
164;672.421;spk2;-;j'ai passé beaucoup d'années à observer et un petit peu à aussi à;-
164;676.604;-;spk2;-;bb
164;678.28;spk2;-;à euh;-
164;679.345;spk2;-;prendre des modèles un peu comme ça euh;-
164;681.441;spk2;-;sur les parents de mes amis;-
165;682.828;spk2;spk2 spk1;sur euh;-
165;682.828;spk1;spk2 spk1;d'accord;-
166;683.917;spk2;-;sur euh des professeurs;-
167;685.126;spk2;spk2 spk1;que j'avais repérés;-
167;685.126;spk1;spk2 spk1;ouais;-
168;686.14;spk2;-;qui avaient;-
169;686.83;spk2;spk2 spk1;qui ont qui ont représenté un petit peu un modèle qui revenait en moi qui résonnait en moi;-
169;686.83;spk1;spk2 spk1;quelque chose hm hm hm hm;-
170;690.989;spk2;-;donc voilà moi je me suis construite un peu comme ça hein c'était;-
171;693.758;spk1;-;en observant;-
172;694.556;spk1;spk1 spk2;-;rire
172;694.556;spk2;spk1 spk2;ouais j'ai beaucoup observé je continue quand même encore aussi c'est un peu la base de notre métier aussi;-
173;700.354;spk2;-;mais euh donc voilà donc euh;-
174;704.061;spk1;spk1 spk2;et maintenant euh;-
174;704.061;spk2;spk1 spk2;et maintenant donc ? vous;-
175;705.821;spk2;-;bah euh donc euh bah euh;-
175;708.326;spk2;-;Marine et Nicolas euh je les ai élévés pratiquement toute seule;-
175;712.057;spk2;-;avec leur père qui était;-
175;713.889;spk2;-;présent bah comme un père avec des parents;-
176;715.814;spk2;spk2 spk1;divorcés tous les quinze jours;-
176;715.814;spk1;spk2 spk1;hm hm hm;-
177;717.105;spk2;-;les vacances euh;-
177;718.533;spk2;-;voilà;-
177;719.561;spk2;-;j'ai euh je je tenais absolument à ce qu'ils fassent des études;-
177;724.499;spk2;-;même si euh mon fils euh voyait pas pourquoi;-
178;727.286;spk2;spk2 spk1;au départ euh;-
178;727.286;spk1;spk2 spk1;-;rire
178;729.432;spk2;spk2 spk1;au début j'ai ouais;-
178;729.432;spk1;spk2 spk1;fallait expliquer;-
178;729.432;spk1;spk2 spk1;-;rire
179;731.609;spk2;-;lui dire que c'était important euh;-
179;733.712;spk2;-;bon c'était pas toujours évident de;-
179;735.687;spk2;-;dire ce que leur père est aujourd'hui directeur de deux entreprises et d'un niveau CAP;-
180;740.067;spk2;spk2 spk1;comme moi on a un peu cheminé tous les deux en en;-
180;740.067;spk1;spk2 spk1;oui oui oui oui;-
180;742.98;spk2;spk2 spk1;en poussant un peu ah non;-
180;742.98;spk1;spk2 spk1;-;rire
181;745.485;spk2;-;et euh bah euh moi j'ai toujours réussi à travailler et euh sans forcément enfin avoir fait d'études;-
182;751.067;spk2;spk2 spk1;donc c'était un peu compliqué pour euh ouais ouais donc;-
182;751.067;spk1;spk2 spk1;d'expliquer que de faire des études quoi hm hm;-
183;754.918;spk2;-;quand j'ai repris les études euh à chaque fois je les impliquais plus ou moins dans les études euh je leur euh;-
183;759.923;spk2;-;j'essayais de leur montrer que bah le temps que je passe aujourd'hui à faire des études;-
184;764.159;spk2;spk2 spk1;bah normalement j'aurais dû les faire;-
184;764.159;spk1;spk2 spk1;hm hm;-
185;765.912;spk2;-;y a vingt ans ou vingt-cinq ans;-
185;767.294;spk2;-;j'ai pas forcément eu les moyens ou j'ai pas eu le déclic l'envie je sais pas comment on peut appeler ça;-
185;772.578;spk2;-;donc euh bah aujourd'hui je le fais et que bah eux aujourd'hui je leur mets tout entre les mains;-
186;777.833;spk2;spk2 spk1;quand je leur dis;-
186;777.833;spk1;spk2 spk1;ouais ouais;-
187;778.626;spk2;-;que prenez le temps que vous vous voulez;-
187;780.313;spk2;-;mais faut absolument faire des études;-
187;782.193;spk2;-;faut être éduqué c'est important faut;-
187;784.554;spk2;-;donc euh bon bah ils ont compris hein;-
188;786.416;spk2;spk2 spk1;mais bon lui Nicolas;-
188;786.416;spk1;spk2 spk1;-;rire
189;787.632;spk2;-;bon il a arrêté à la licence lui parce que;-
189;789.342;spk2;-;il avait plutôt envie de faire s- une vie de famille;-
190;792.871;spk1;-;oui hm;-
191;793.597;spk2;-;avec s- son amie elle était un peu plus pressée que lui on va dire;-
192;796.751;spk1;-;hm;-
193;797.164;spk2;-;mais bon aujourd'hui il a un super boulot euh il s'éclate et;-
194;799.837;spk2;spk2 spk1;bon c'est ce qui est important et puis;-
194;799.837;spk1;spk2 spk1;d'accord ouais bah oui oui c'est sûr;-
195;802.871;spk2;-;bah Marine elle chemine doucement;-
196;804.775;-;spk1;-;rire
197;805.549;spk2;-;mais bon euh;-
197;806.458;spk2;-;moi je les ai jamais non plus poussés quoi j'ai jamais eu je leur ai jamais mis la pression euh;-
