Locuteur,Echange
LD54:,bon euh
LD54:,et j'ai vu
LD54:,moi-même
LD54:,euh à quarante-cin- à quarante-cinq ans
LD54:,commencer euh à
LD54:,tirer un peu en- entre guillemets
LD54:,[bb:noise:instantaneous] sur des gens qui avaient la cinquantaine passée
LD54:,parce que ils avaient peut-être une
LD54:,façon de travailler différente
LD54:,et aujourd'hui c'est vrai que
ch_NS3:,hm hm
LD54:,on doit peut-être s'adapter
LD54:,et même si on s'adapte
LD54:,on est quand même euh
LD54:,déconnecté par rapport aux gens de trente-cinq quarante ans
LD54:,euh à une personne qui a cinquante-cinq ans
LD54:,euh
LD54:,elle est vieille
LD54:,hein aujourd'hui quand vous voyez des enfants euh
LD54:,de de de de douze ans
LD54:,quand ils voient quelqu'un de quarante ans euh
ch_NS3:,hm hm
LD54:,il est vieux hein l'institutrice euh
LD54:,un gamin de douze ans
LD54:,va vous dire la maîtresse c'est une vieille
LD54:,et elle a trente-cinq quarante ans
ch_NS3:,hm hm
LD54:,n'est-ce pas ?
ch_NS3:,hm hm
ch_NS3:,[rire:noise:instantaneous]
ch_NS3:,oui c'est vrai sur le
ch_NS3:,[rire:noise:instantaneous]
ch_NS3:,la perception est différente selon l'âge
LD54:,et donc moi j'ai bien euh
LD54:,je me suis bien rendu compte euh
LD54:,quand j'avais trente-cinq quarante ans
LD54:,que j'avais des personnes dans dans mon service
LD54:,qui étaient
LD54:,pas plus âgées
LD54:,qu'aujourd'hui je su- je le suis
LD54:,mais euh ça commence
LD54:,on on dit
LD54:,bon euh cette personne-là
LD54:,elle devrait se remettre en question euh
LD54:,pas pour autant dire que
LD54:,faut les mettre euh
LD54:,dehors loin de là
LD54:,mais malheureusement euh
LD54:,qu'est-ce qui se produit aujourd'hui dans les entreprises
LD54:,c'est souvent
LD54:,quand vous avez euh la la cinquantaine passée euh
LD54:,vous êtes relativement cher
LD54:,comme on dit aujourd'hui
LD54:,on lit des romans des journaux
LD54:,donc aujourd'hui je connais bien la presse
LD54:,je connais bien les
LD54:,[rire:noise:instantaneous]
LD54:,hm hm
ch_NS3:,qu'est-ce qu'on parle aujourd'hui
ch_NS3:,de la retraite euh et des retraites
ch_NS3:,c'est vrai que une
ch_NS3:,personne de cinquante-cinq ans
ch_NS3:,peut coûter plus cher euh
ch_NS3:,qu'un jeune de trente-cinq ans
ch_NS3:,qui est
ch_NS3:,muni de bagages
ch_NS3:,voire supérieurs
ch_NS3:,bon c'est comme ça
LD54:,hm hm
LD54:,oui malheureusement
LD54:,enfin la personne jeune a moins d'expériences que le
LD54:,la personne plus âgée mais
LD54:,c'est vrai qu'on a quand même tendance à
ch_NS3:,bon du du fait que c'est anonyme apparemment votre euh
LD54:,à se débarrasser de plus de
ch_NS3:,c'est anonyme plus ou moins
LD54:,oui
ch_NS3:,oui oui tout sera anonymé
LD54:,donc euh je croyais
LD54:,je croyais j'étais j'étais cadre euh
LD54:,donc avant d'être ici
ch_NS3:,donc euh
ch_NS3:,hm hm
LD54:,j'étais chef de service
LD54:,en recherche et développement
LD54:,euh je pensais
LD54:,que l'expérience était
LD54:,un atout
LD54:,l'expérience est un atout
LD54:,quand vous êtes en place
LD54:,mais quand vous êtes plus en place
LD54:,pour des raisons euh économiques euh
LD54:,licenciement économique
LD54:,quand vous êtes euh hors circuit
LD54:,vous avez toujours votre savoir-faire
LD54:,hein
LD54:,l'expérience
ch_NS3:,hm hm
LD54:,mais l'employeur qui vous embauche
LD54:,euh il voudrait vos expériences
LD54:,mais il voudrait que vous soyez dix ans plus jeune
LD54:,et donc j'ai été euh amené
LD54:,à comprendre euh à comprendre à subir ce phénomène
LD54:,de gens qui vous voulaient
LD54:,quand vous étiez déjà en place
LD54:,quand vous êtes euh
LD54:,sorti du circuit
LD54:,du système
LD54:,on est surpris de voir
LD54:,que sur votre CV
LD54:,que vous avez autant d'âge
LD54:,et bon alors vous a- donc vous allez donc avoir
LD54:,des entretiens
LD54:,donc aujourd'hui vous avez bon faut pas dire
LD54:,j'ai vu dans les journaux
LD54:,des gens qui envoient cent CV
LD54:,ils ont euh trois réponses
LD54:,si le CV est mal fait et si euh
LD54:,ils dirigent pas leur CV
LD54:,euh sur des emplois qui leur sont tout à fait possibles
LD54:,dans ces cas-là on peut faire ce qu'on veut
LD54:,mais quand vous avez bien ciblé
LD54:,vos emplois quand vous envoyez ces CV
LD54:,vous avez quand même
LD54:,assez souvent des
LD54:,des des entretiens
LD54:,des contacts
ch_NS3:,hm hm
LD54:,des entretiens
LD54:,et souvent l'entretien se termine euh
LD54:,au bout du deuxième ou du troisième euh
LD54:,parce que c'est plus ou moins euh l'âge
LD54:,hein euh l'expérience c'est une chose
LD54:,mais ils se disent peut-être euh
LD54:,la personne qui aura trente-cinq ans
LD54:,ou quarante ans
ch_NS3:,hm hm
LD54:,aura peut-être la même expérience
LD54:,que la personne qui en a cinquante
LD54:,un petit peu moins
LD54:,donc quand on a je pense
LD54:,l'expérience à quarante-cinq ans
LD54:,à quarante ans
LD54:,on a l'expérience similaire à cinquante ans
LD54:,moi je dis que le savoir-faire
LD54:,vous l'avez à quarante ans et vous l'avez
LD54:,pas plus à cinquante
ch_NS3:,hm hm
LD54:,donc c'est pour ça
LD54:,que l'expérience compte
LD54:,l'expérience compte mais à
LD54:,quarante ans les gens ont l'expérience
LD54:,bon
LD54:,je parle pas de gens de vingt-cinq ans hein
LD54:,loin de là
ch_NS3:,hm hm
ch_NS3:,d'accord
ch_NS3:,et justement pour continuer sur votre euh
ch_NS3:,sur votre métier euh
ch_NS3:,qu'est-ce qui vous a
ch_NS3:,poussé quand vous étiez
ch_NS3:,jeune euh
ch_NS3:,à
ch_NS3:,travailler dans la
ch_NS3:,la recherche et le développement enfin quel est le parcours que vous avez
ch_NS3:,fait au niveau
ch_NS3:,des études euh
LD54:,donc euh j'étais en parfumerie
LD54:,donc euh parce que bon
LD54:,je ne faisais pas des moteurs d'avion
LD54:,mais c'est un métier très spécifique euh la parfumerie
LD54:,donc R et D ça veut dire euh donc euh
LD54:,j'ai été amené euh bon j'ai un bac plus deux
LD54:,en mécanique générale
LD54:,donc en mécanique appliquée donc euh
LD54:,après euh vous avez vingt-cinq ans
LD54:,vous faites vous commencez comme tout le monde euh
LD54:,avec vo- les premiers
LD54:,dans les années
LD54:,dans les années
LD54:,soixante-quinze quatre-vingts
LD54:,les années quatre-vingts
LD54:,soixante-quinze
LD54:,quatre- soixante-quinze quatre-vingts
LD54:,vous commencez à travailler
LD54:,tous dans des bureaux d'études
ch_NS3:,hm hm
LD54:,bon j'étais dessinateur
LD54:,donc aujourd'hui euh on commence
LD54:,à dessiner étude un étude deux
LD54:,et à vingt-cinq vingt-six vingt-sept ans
LD54:,où vous av-
LD54:,vous êtes sur Paris et vous avez
LD54:,l'opportunité de de voir des postes
LD54:,qui se créent sur Orléans
LD54:,qui sont pas tout à fait
LD54:,dans votre profession
LD54:,mais vous dites euh je suis capable de faire
LD54:,ce genre de euh
LD54:,de de métier
LD54:,donc le développement la qualité
LD54:,c'est quelque chose euh
LD54:,que je connaissais déjà un petit peu
LD54:,et bon vous rentrez donc je suis rentré
LD54:,dans une société
LD54:,je suis rentré chez un grand parfumeur d'Orléans
LD54:,à Saint-Jean-de-Braye
LD54:,et donc vous faites votre carrière euh
LD54:,vous donnez votre savoir-faire euh
LD54:,vous faites euh de la qualité vous faites un peu de développement
LD54:,quand on est technicien
LD54:,on fait du développement sans le savoir
LD54:,et vous vous rendez compte
LD54:,que vous avez des capacités
LD54:,et quand vous avez trente-cinq ans
LD54:,vous êtes euh ads-
LD54:,adjoint à un chef de service éventuellement
LD54:,c'était mon cas
LD54:,vous avez à trente-cinq ans l'opportunité
LD54:,de voir euh un de vos concurrents
LD54:,[cocurrents:pronounce:instantaneous] euh
LD54:,qui cherche euh un responsable développement
LD54:,et donc euh vous vous postulez
LD54:,et vous êtes embauché
LD54:,et après vous poursuivez cette carrière hein
ch_NS3:,hm hm
LD54:,avec une structure euh
LD54:,ingénieur développement euh
LD54:,technicien qualité
LD54:,et on fait ça pendant quinze ans
ch_NS3:,hm hm
LD54:,avec euh aujourd'hui un métier
LD54:,très plaisant
LD54:,donc euh
LD54:,c'est bon aujourd'hui quand on fait la parfumerie
LD54:,ça veut dire en développement ça veut dire
LD54:,que vous prenez l'exemple
LD54:,ou vous rencontrez une marketing
LD54:,qui va vous dire c'est
LD54:,pas du tout un développement
LD54:,commande notre
LD54:,[pi:pronounce:instantaneous]
LD54:,vous avez un marketing euh
LD54:,qui va vous donner euh une estis-
LD54:,euh l'esquisse d'un d'un flac- de de
LD54:,d'un parfum
LD54:,eux ils font le brief marketing de leur côté
LD54:,bon c'est
LD54:,leur façon de travailler
LD54:,et ils vous sortent une maquette
LD54:,qu'ils font euh avec euh
LD54:,du papier du carton
LD54:,quelque chose
LD54:,qui est souvent imaginable hein c'est c- c'est leur idée
LD54:,vous la désossez
LD54:,et après
LD54:,vous la dé- vous dé- vous vous
LD54:,v- vous prenez le projet
LD54:,vous voyez s'il est viable ou pas
LD54:,s'il est f-
LD54:,s'il est ré-
LD54:,pardon s'il est réalisable ou pas
LD54:,en industrie
ch_NS3:,hm hm
LD54:,et après donc euh
LD54:,vous le disséquez en morceaux
LD54:,et vous savez
LD54:,que vous avez un flacon
LD54:,vous avez une capsule un bouchon
LD54:,un packaging un emballage et après euh
LD54:,après vous êtes amené à
LD54:,à pondre le projet
LD54:,et et après
LD54:,à définir le prix
LD54:,puisqu'on est t- on est plutôt R et D achat
LD54:,définir le produit
LD54:,voir si ça passe
LD54:,en prix
LD54:,par rapport euh
LD54:,par rapport euh au coût
LD54:,du produit
LD54:,à la marge
LD54:,par rapport à ce que le marketing euh
LD54:,estime euh le vendre
LD54:,et les commerciaux
LD54:,et après donc euh vous lancez
LD54:,vous vous faites des maquettes
LD54:,vous lancez les outillages
LD54:,et vous faites aussi bien
LD54:,du flacon donc bon il faut être un spécialiste
LD54:,du flacon
LD54:,du plastique
LD54:,donc du verre
LD54:,du plastique
ch_NS3:,hm hm
LD54:,et du l'étayage
LD54:,du pa- du carton
ch_NS3:,d'accord
LD54:,donc c'est comme ça
LD54:,qu'on fait des
LD54:,des flacons ou des lignes de soin
ch_NS3:,hm hm
LD54:,donc je
LD54:,[pi:pronounce:instantaneous]
LD54:,je conseille uniquement au niveau du
LD54:,du contenant
LD54:,donc je vais pas
LD54:,en R et D
LD54:,au niveau recherche euh formulation
LD54:,donc uniquement au niveau du concept des
LD54:,du contenant comme on dit
LD54:,du du packaging
LD54:,proprement dit
ch_NS3:,hm hm
ch_NS3:,et donc en fait c'est le
ch_NS3:,les gens du
ch_NS3:,du contenant ou du contenu
ch_NS3:,qui qui commencent en premier euh
ch_NS3:,ou les deux sont mélangés euh
ch_NS3:,c'est un
ch_NS3:,flacon qui va déclencher quelque chose
ch_NS3:,ou c'est
ch_NS3:,déjà un parfum ou un produit qui est prêt
ch_NS3:,qui va demander un
LD54:,le parfum
LD54:,reprenons le parfum le parfum
LD54:,c'est souvent des comment di-
LD54:,c'est pas donné
LD54:,[dénné:pronounce:instantaneous] aujourd'hui
LD54:,malheureuse- m-
LD54:,même aujourd'hui
LD54:,de plus en plus
LD54:,de- depuis lon- depuis longtemps
LD54:,on fait appel à des organismes extérieurs
LD54:,qui font
LD54:,des panels de parfum
LD54:,qui le présentent en marketing
LD54:,donc aujourd'hui le marketing
LD54:,va dire le chef du projet au marketing euh
LD54:,ou le directeur marketing va dire
LD54:,ce parfum je le trouve un
LD54:,p- un peu trop fruité
LD54:,pas assez fruité un peu plus
LD54:,ou je voudrais un peu plus d'ambré
LD54:,je voudrais un peu plus de ci un peu plus de ça
ch_NS3:,hm hm
LD54:,donc il amène des panels
LD54:,euh ça se passe des fois
LD54:,ils partent avec cent panels de de parfum
LD54:,qu'ils testent sur des mouillettes
LD54:,ça se passe comme ça hein encore
LD54:,et sur les
LD54:,après il n'en reste plus qu'une quinzaine
LD54:,et après ils demandent de travailler les quinze parfums
LD54:,ou les ils ont à peu près leur le
LD54:,leur idée je pense que des fois euh la senteur
LD54:,peut varier en fonction de ce qu'on leur présente
LD54:,ils sont pas très fixés au début
ch_NS3:,hm
LD54:,ils ont
LD54:,une idée
LD54:,et ça peut très bien changer un tout petit peu
LD54:,euh voire même beaucoup
LD54:,euh
LD54:,en fin
LD54:,de d'expérimentation
LD54:,parce que des fois la date du timing avance
LD54:,et des fois euh
LD54:,ils ont pas trouvé
LD54:,des fois euh ce qu'ils veulent
LD54:,et après des fois
LD54:,ils prennent un petit peu
LD54:,euh quelque chose de différent
LD54:,y a un timing qui est prévu
LD54:,et si euh le parfum n'est pas
LD54:,n'est pas arrêté
LD54:,ça sortira pas en développement
LD54:,et c'est après
LD54:,nous on
LD54:,on s'accroche et derrière sur
LD54:,même d- en même temps
LD54:,on s'accroche bien avant eux
LD54:,hein
LD54:,sur le concept du flacon
LD54:,qui ont déjà une idée hein
LD54:,hein le concept du flacon
LD54:,et quand on fait un parfum
LD54:,derrière il faut faire euh la ligne complémentaire
LD54:,qui est aussi bien
LD54:,euh la ligne de soins
LD54:,euh bon les savons ça ne se fait plus euh
LD54:,le gel le lait et tous les produits
LD54:,si c'est un produit masculin ou féminin donc on fait on
ch_NS3:,hm hm
LD54:,y a pas que le f- y a
LD54:,le produit
LD54:,basique
LD54:,mais après on décline toute la ligne derrière
LD54:,et c'est souvent le plus compliqué
LD54:,et c'est souvent ça
LD54:,que le marketing euh va vous le définir
LD54:,coup par coup
LD54:,parce que euh
LD54:,ils se rendent compte
LD54:,que des fois sur un linéaire
LD54:,quand vous lancez un parfum
LD54:,il faut avoir un ligne complète
LD54:,si vous avez que deux étuis un cinquante M L
LD54:,et un cent M L ça va pas
LD54:,il faut le cinquante
LD54:,le cent le trente après y a les compagnies aériennes
LD54:,y a tout l'export qui a besoin de produits
ch_NS3:,hm hm
LD54:,et
LD54:,sur euh un concept d'un parfum avec un packaging
LD54:,propre
LD54:,vous en déclinez tout de suite une douzaine
LD54:,hein
ch_NS3:,hm hm
LD54:,bon c'est comme ça qu'on travaille
ch_NS3:,d'accord
ch_NS3:,ouais ça devait être euh
ch_NS3:,intéressant et
ch_NS3:,motivant euh hm hm
LD54:,non non c'est très c'est très motivant moi je
LD54:,je travaillais chez à Chartres chez Paco Rabanne
LD54:,euh je travaillais en direct avec Paco Rabanne
LD54:,donc euh hm
LD54:,bon
LD54:,vous avez connu euh ultra violet
LD54:,peut-être que vous avez déjà été amenée à
LD54:,acheter ultra violet
LD54:,un flacon en forme de sphère
ch_NS3:,bah ça me dit quelque chose
LD54:,on appuie sur le produit et euh la coque
ch_NS3:,hm hm
LD54:,c'est une demi sphère
LD54:,et la coque est métallique
LD54:,et vous savez un silicone
LD54:,vous avez un genre de soufflet un silicone quelque chose
LD54:,et vous appuyez dessus donc cette euh
LD54:,et
LD54:,Paco Rabanne
LD54:,quand il nous a pon- euh
LD54:,pondu cè- cette idée son premier brief
LD54:,c'était je veux un flacon
LD54:,rond
LD54:,c'était lui qui avait fait Calandre
LD54:,Calandre c'était une ligne qu'il avait fait auparavant
LD54:,chez Paco Rabanne
LD54:,c'était une ligne très
LD54:,très anguleuse
LD54:,et il avait dit
LD54:,je veux un flacon anti-Calandre
LD54:,ça veut dire
LD54:,faut vite comprendre ce qu'il veut
LD54:,ça veut dire il voulait en réalité un flacon
LD54:,il nous a
LD54:,fait comprendre qu'il voulait autre chose
ch_NS3:,hm hm
LD54:,donc et c'était euh une sphère
LD54:,donc euh c'était il était parti dans des idées intré-
LD54:,bon je vais pas en parler mais très très
LD54:,très confondeu-
LD54:,très confuses
LD54:,et c'est de là
LD54:,qu'on a fait un flacon en demi sphère hein
LD54:,donc euh
LD54:,et après
LD54:,donc euh le concept euh il fallait appuyer sur le flacon comme ça
LD54:,donc y avait vraiment des des des concepts euh
LD54:,de
LD54:,Paco Rabanne était très on était très à l'époque
LD54:,très innovant
LD54:,c'était un peut-ê-
LD54:,peut-être le moyen
LD54:,encore maintenant
LD54:,le moyen de se
LD54:,démarquer par rapport
LD54:,au grand groupe LVMH
LD54:,qui faisait des flacons plutôt basiques
LD54:,donc nous il fallait faire des flacons
LD54:,qui plaisent
LD54:,aux clients
LD54:,aux consommateurs
LD54:,le parfum devait plaire aussi
LD54:,mais c'était aussi le concept qui devait plaire euh
LD54:,et sortir du produit basique
LD54:,donc plus compliqué à faire
LD54:,je pense
LD54:,les produits Rabanne
LD54:,que des produits euh LVMH
ch_NS3:,hm hm
ch_NS3:,d'accord
ch_NS3:,et donc euh
ch_NS3:,donc après vous avez été licencié
ch_NS3:,économique
LD54:,oui
ch_NS3:,et donc vous avez dû changer euh
ch_NS3:,totalement de
LD54:,non
LD54:,euh j'ai voulu euh absolument
LD54:,poursuivre ce genre d'activité
LD54:,pendant un an
LD54:,vous vous avez vos repères vous avez vos
LD54:,votre réseau
ch_NS3:,hm hm
LD54:,et au bout d'un an euh vous vous rendez compte
LD54:,que votre réseau euh
LD54:,de moins en moins euh
LD54:,il est il est bon
LD54:,de moins en moins il est efficace euh
LD54:,et vous avez euh
LD54:,des entretiens et vous vous rendez compte euh
LD54:,que quand vous postulez à des postes euh
LD54:,de chef de projets euh on vous dit
LD54:,mais vous étiez euh
LD54:,autrement
LD54:,différent
LD54:,donc vous pouvez pas avoir un poste de chef de projets
LD54:,des postes de responsables R et D j'en ai pas à vous proposer
LD54:,donc euh après on pourrait
LD54:,très bien donc dans ces cas-là on peut très bien
LD54:,se sous-évaluer en disant euh
LD54:,je peux aujourd'hui
LD54:,je pouvais je f- je pouvais faire être chef de projets
LD54:,parce que aujourd'hui
LD54:,dans ma fonction
LD54:,j'avais un projet
LD54:,j'ai toujours les projets
LD54:,pas les plus compliqués
LD54:,mais les projets les plus difficiles
LD54:,à
LD54:,à faire avancer auprès des marketings
LD54:,j'avais peut-être le service à
LD54:,comment
LD54:,à encadrer
LD54:,mais j'avais aussi des projets
LD54:,que je menais de A à Z
LD54:,ou des fois j'en faisais une partie
ch_NS3:,hm hm
LD54:,et je déléguais euh les choses euh
LD54:,qui étaient euh
LD54:,pas intéressantes
LD54:,mais des choses
LD54:,qui pouvaient être faits
LD54:,par des gens
LD54:,plus
LD54:,p-
LD54:,plus plus c'était des g- c'était plutôt
LD54:,une suite
LD54:,hein
LD54:,mais donc quand vous avez euh
LD54:,quand vous postulez
LD54:,et quand vous avez vos contacts euh
LD54:,vous y croyez et à un moment vous y croyez plus
LD54:,et vous vous rendez compte euh
LD54:,bon j'avais des amis euh
LD54:,j'ai un un ami qui fait du
LD54:,du management euh
LD54:,qui faisait un p-
LD54:,qui aidait un petit peu
LD54:,dans des organismes
LD54:,justement aidait des gens à les hm
LD54:,à les sortir de là
LD54:,et il me disait euh à ton âge
LD54:,dans ton métier
LD54:,dans ta profession
LD54:,dans ton corps de métier c'est très spécialisé
LD54:,tu as cinq pour cent
LD54:,de chance
LD54:,de trouver du travail
ch_NS3:,hm hm
LD54:,donc mais ça on accepte pas
LD54:,cette euh
LD54:,remarque euh on
LD54:,on se dit y a pas de raison
LD54:,que je décroche pas un poste
LD54:,un poste suffit
LD54:,dans ces cas-là c'est pas la peine d'en avoir deux
LD54:,bon
ch_NS3:,ah ouais
LD54:,et au bout d'un an
LD54:,vous essuyez des plâtres
LD54:,et à un moment
LD54:,vous vous dites bon stop euh on veut pas de moi
